00000001    20170110    P0000001  5     mobile
00000002    20170120    P0004301  3     weixin
00000003    20171110    P0040001  5     bs
00000004    20180110    P0000001  2     bs
00000005    20170410    P0006501  4     mobile
00000006    20170116    P0000001  5     weixin
00000007    20170125    P0000001  7     mobile
00000008    20170324    P0000012  5     mobile
00000009    20170116    P0000001  5     weixin
000000010    20170125    P0000001  7     mobile
000000011    20170324    P0000012  5     mobile
